,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,steals,total_rebounds,turnovers
41,2.5,4.6,.550,1.1,3.0,.367,1.9,0.5,3.6,.550,.478,3.6,7.6,.765,1.5,2.0,433,94,21.6,Kelly Olynyk,1.2,2.8,9.9,0.7,4.9,1.5
42,1.9,3.4,.569,0.3,1.1,.283,0.5,0.6,1.8,.534,.500,2.2,4.4,.636,1.1,1.7,112,30,17.3,Derrick Jones Jr.,1.4,1.9,5.8,0.6,3.2,0.6
43,2.7,6.0,.448,0.8,2.3,.343,2.7,0.4,4.3,.467,.419,3.5,8.4,.644,1.1,1.8,230,100,28.2,Justise Winslow,1.0,2.4,8.9,1.0,5.3,1.5
44,0.5,1.5,.333,0.0,0.5,.000,0.0,0.0,1.0,.250,.250,0.5,2.0,,0.0,0.0,2,0,6.5,Yante Maten,0.5,0.0,1.0,0.5,1.5,0.0
45,0.5,0.7,.727,0.7,2.3,.286,0.3,0.0,1.1,.500,.391,1.2,3.1,.667,0.3,0.4,15,1,10.7,Duncan Robinson,0.1,0.7,3.3,0.3,1.3,0.3
46,4.6,9.4,.486,0.9,2.7,.341,3.5,0.5,3.5,.491,.454,5.5,12.1,.835,4.8,5.8,523,418,32.9,Jimmy Butler,1.5,1.4,16.7,1.6,4.9,1.5
47,6.4,11.5,.557,0.5,1.7,.277,4.1,1.3,6.7,.539,.521,6.9,13.2,.742,4.6,6.2,465,400,32.7,Giannis Antetokounmpo,1.6,3.0,18.8,1.2,8.3,2.6
48,0.9,1.9,.481,0.7,1.9,.364,0.8,0.3,2.6,.513,.423,1.6,3.8,.551,0.4,0.7,70,3,13.6,D.J. Wilson,0.7,1.3,4.3,0.3,3.3,0.5
49,1.3,2.5,.509,0.8,2.1,.357,1.0,0.2,2.4,.521,.439,2.0,4.6,.758,0.4,0.6,112,11,16.2,Sterling Brown,0.5,1.5,5.3,0.5,2.9,0.6
50,1.0,1.5,.683,0.8,3.1,.265,1.1,0.2,1.8,.492,.403,1.9,4.6,.750,0.3,0.4,27,0,15.2,Donte DiVincenzo,0.6,1.4,4.9,0.5,2.4,0.7
51,2.9,6.0,.481,1.1,3.0,.365,1.1,0.4,4.0,.504,.443,4.0,9.0,.773,1.6,2.0,745,415,23.9,Ersan İlyasova,1.8,2.5,10.6,0.7,5.8,1.0
52,1.0,1.8,.544,0.8,2.1,.349,1.2,0.2,1.8,.533,.439,1.8,4.0,.796,0.4,0.5,216,8,14.9,Pat Connaughton,0.5,1.1,4.6,0.3,2.3,0.5
53,3.9,7.8,.503,1.1,3.2,.336,4.8,0.5,3.1,.503,.455,5.0,11.0,.794,3.0,3.8,570,408,27.9,Eric Bledsoe,0.8,2.0,14.1,1.5,3.9,2.6
54,1.0,2.3,.444,0.6,2.6,.238,0.4,0.1,2.8,.397,.333,1.6,4.9,.889,1.0,1.1,8,2,12.3,Bonzie Colson,1.0,0.4,4.9,0.6,3.8,0.4
55,6.0,11.6,.521,0.6,1.8,.347,1.5,1.7,4.3,.521,.498,6.6,13.4,.791,3.4,4.3,717,680,30.9,Brook Lopez,2.2,2.7,17.3,0.6,6.5,1.9
56,2.8,5.6,.496,1.2,3.2,.378,3.2,0.3,2.5,.522,.453,4.0,8.8,.801,2.1,2.6,726,447,28.2,George Hill,0.6,2.1,11.2,0.9,3.1,1.3
57,4.1,8.4,.484,1.7,4.3,.388,3.2,0.2,3.9,.517,.451,5.7,12.7,.870,2.6,3.0,455,383,31.7,Khris Middleton,0.6,2.6,15.7,1.3,4.4,1.9
58,3.8,7.1,.534,0.0,0.1,.216,0.8,1.2,2.9,.532,.531,3.8,7.1,.757,1.5,1.9,766,580,23.0,Robin Lopez,2.4,2.0,9.1,0.2,5.3,1.1
59,2.5,5.4,.470,2.1,5.6,.382,2.2,0.2,2.6,.522,.425,4.7,11.0,.826,2.2,2.6,724,662,32.6,Wesley Matthews,0.5,2.2,13.7,1.1,3.1,1.3
60,1.5,1.5,1.000,0.0,0.5,.000,0.0,0.0,0.5,.750,.750,1.5,2.0,,0.0,0.0,2,0,3.0,Thanasis Antetokounmpo,0.0,1.0,3.0,0.0,0.5,0.0
61,2.9,5.7,.518,0.1,0.4,.332,1.4,1.0,4.3,.517,.505,3.1,6.1,.790,1.7,2.1,452,187,22.7,Gorgui Dieng,1.9,2.3,8.0,0.8,6.2,1.2
62,3.6,7.6,.475,0.9,2.5,.356,5.8,0.3,2.1,.489,.445,4.5,10.1,.842,2.8,3.3,712,576,27.7,Jeff Teague,0.3,1.9,12.7,1.2,2.5,2.3
63,6.1,13.0,.467,1.1,3.2,.332,2.2,0.6,3.0,.473,.440,7.2,16.3,.735,4.0,5.5,400,400,36.0,Andrew Wiggins,1.3,2.1,19.4,1.0,4.3,2.1
64,1.9,3.9,.471,2.3,6.5,.360,1.6,0.8,4.6,.514,.402,4.2,10.5,.813,2.0,2.4,326,280,29.9,Robert Covington,0.9,3.0,12.7,1.7,5.5,1.8
65,1.8,4.0,.464,0.8,2.9,.279,1.2,0.4,2.4,.445,.386,2.6,6.9,.728,1.6,2.2,74,52,23.7,Josh Okogie,0.6,2.2,7.7,1.2,2.9,0.9
66,1.6,3.0,.522,0.4,1.7,.250,0.6,0.5,2.2,.468,.423,2.0,4.7,.643,0.6,0.9,30,3,16.8,Keita Bates-Diop,0.5,1.0,5.0,0.6,2.8,0.5
67,1.2,2.8,.429,0.9,2.6,.354,2.0,0.1,1.5,.478,.393,2.1,5.5,.812,1.2,1.5,289,24,16.1,Shabazz Napier,0.3,1.0,6.4,0.8,1.7,1.1
68,0.7,1.7,.434,0.7,1.9,.363,0.8,0.1,1.4,.492,.396,1.4,3.6,.719,0.6,0.8,125,24,15.6,Treveon Graham,0.6,1.6,4.1,0.4,2.0,0.4
69,7.3,12.7,.572,1.2,3.1,.392,2.6,1.5,8.7,.575,.537,8.5,15.8,.836,4.0,4.8,323,323,34.4,Karl-Anthony Towns,3.2,3.3,22.3,0.8,11.9,2.5
70,1.3,2.2,.584,0.5,1.8,.302,0.5,0.3,1.4,.525,.457,1.8,4.0,.714,0.5,0.6,141,35,12.3,Jake Layman,0.5,1.1,4.6,0.3,1.8,0.4
71,2.0,4.4,.464,0.2,0.6,.237,1.2,0.2,1.8,.450,.435,2.2,5.0,.674,1.0,1.5,92,19,16.1,Tyrone Wallace,0.4,1.8,5.5,0.5,2.2,0.9
72,1.7,3.4,.491,0.3,0.9,.316,0.8,0.4,4.0,.487,.453,2.0,4.3,.683,0.9,1.3,299,170,17.7,Noah Vonleh,1.4,1.9,5.1,0.4,5.4,0.8
73,1.6,4.2,.380,0.7,2.2,.305,3.1,0.3,1.8,.407,.354,2.3,6.5,.735,0.6,0.8,121,25,21.6,Frank Ntilikina,0.4,2.4,5.9,0.8,2.2,1.5
74,4.2,9.2,.452,1.4,4.5,.316,5.0,0.3,2.7,.459,.407,5.6,13.7,.668,1.9,2.9,122,119,29.2,Dennis Smith Jr.,0.7,2.3,14.5,1.1,3.4,2.9
75,1.8,3.8,.477,1.3,3.5,.361,1.4,0.1,2.6,.508,.421,3.1,7.3,.736,0.8,1.0,117,42,21.2,Damyean Dotson,0.4,1.4,8.2,0.6,3.0,0.8
76,2.8,7.3,.387,1.7,4.9,.343,1.1,0.3,3.7,.438,.370,4.5,12.2,.717,2.2,3.0,75,57,28.8,Kevin Knox,0.8,2.3,12.8,0.6,4.5,1.5
77,3.1,4.4,.694,0.0,0.0,0,0.6,2.4,3.7,.694,.694,3.1,4.4,.600,1.2,2.0,66,19,20.6,Mitchell Robinson,2.7,3.3,7.3,0.8,6.4,0.5
78,2.8,6.0,.466,0.8,2.1,.394,1.9,0.2,2.6,.498,.448,3.6,8.1,.803,2.8,3.5,64,3,22.8,Allonzo Trier,0.5,1.8,10.9,0.4,3.1,1.8
